user_sequence,challenge
9913_13,CI23855
9916_11,CI26192
9916_12,CI26198
9916_13,CI26191
9917_11,CI24530
9917_12,CI23663
9917_13,CI23856
9918_11,CI23663
9918_12,CI24868
9918_13,CI24917
9923_11,CI27811
9923_12,CI27781
9923_13,CI27781
9929_11,CI23855
9929_12,CI24868
9929_13,CI23855
9930_11,CI26221
9930_12,CI26211
9930_13,CI26161
9936_11,CI26170
9936_12,CI26160
9936_13,CI26217
9937_11,CI26175
9937_12,CI26170
9937_13,CI26217
9943_11,CI26175
9943_12,CI26211
9943_13,CI26174
9947_11,CI26055
9947_12,CI25140
9947_13,CI24968
9948_11,CI24937
9948_12,CI24936
9948_13,CI25052
9949_11,CI24530
9949_12,CI23663
9949_13,CI24868
9950_11,CI24530
9950_12,CI23663
9950_13,CI24868
9951_11,CI24527
9951_12,CI24522
9951_13,CI24917
9952_11,CI23663
9952_12,CI26054
9952_13,CI24917
9954_11,CI24530
9954_12,CI24522
9954_13,CI24917
9957_11,CI26828
9957_12,CI26824
9957_13,CI26824
9958_11,CI23714
9958_12,CI24530
9958_13,CI24968
9963_11,CI26828
9963_12,CI26824
9963_13,CI26824
9967_11,CI26221
9967_12,CI26211
9967_13,CI26161
9968_11,CI24522
9968_12,CI24522
9968_13,CI24917
9973_11,CI26221
9973_12,CI26211
9973_13,CI26161
9974_11,CI23714
9974_12,CI24868
9974_13,CI23855
9978_11,CI24206
9978_12,CI24868
9978_13,CI23662
9980_11,CI24530
9980_12,CI23663
9980_13,CI23856
9987_11,CI26170
9987_12,CI26160
9987_13,CI26174
9989_11,CI28048
9989_12,CI24917
9989_13,CI24917
9990_11,CI27957
9990_12,CI27957
9990_13,CI26174
9991_11,CI26175
9991_12,CI26170
9991_13,CI26174
9993_11,CI26910
9993_12,CI26173
9993_13,CI26174
9994_11,CI28568
9994_12,CI28582
9994_13,CI28569
9997_11,CI24860
9997_12,CI26054
9997_13,CI24917
10005_11,CI26170
10005_12,CI26160
10005_13,CI26217
10010_11,CI23663
10010_12,CI23856
10010_13,CI23855
10011_11,CI26910
10011_12,CI26173
10011_13,CI26221
10014_11,CI23714
10014_12,CI24867
10014_13,CI28569
10017_11,CI26948
10017_12,CI26945
10017_13,CI26939
10018_11,CI23769
10018_12,CI25175
10018_13,CI24917
10019_11,CI26839
10019_12,CI27648
10019_13,CI27662
10022_11,CI26910
10022_12,CI26160
10022_13,CI26221
10023_11,CI24527
10023_12,CI24522
10023_13,CI23855
10025_11,CI26910
10025_12,CI26211
10025_13,CI26221
10026_11,CI26175
10026_12,CI26170
10026_13,CI26174
10032_11,CI23663
10032_12,CI24952
10032_13,CI24968
10040_11,CI26175
10040_12,CI26211
10040_13,CI26221
10041_11,CI24937
10041_12,CI25052
10041_13,CI24917
10046_11,CI26986
10046_12,CI27000
10046_13,CI24530
10047_11,CI26950
10047_12,CI26945
10047_13,CI26939
10049_11,CI26221
10049_12,CI26170
10049_13,CI26174
10050_11,CI26175
10050_12,CI26170
10050_13,CI26174
10052_11,CI26170
10052_12,CI26160
10052_13,CI26174
10054_11,CI23663
10054_12,CI24522
10054_13,CI24917
10057_11,CI27033
10057_12,CI27030
10057_13,CI27031
10060_11,CI24206
10060_12,CI24868
10060_13,CI23855
10061_11,CI23663
10061_12,CI24522
10061_13,CI24917
10062_11,CI26175
10062_12,CI26170
10062_13,CI26174
10063_11,CI23855
10063_12,CI25735
10063_13,CI24955
10064_11,CI26910
10064_12,CI26211
10064_13,CI26902
10065_11,CI27667
10065_12,CI27648
10065_13,CI27662
10070_11,CI26877
10070_12,CI26170
10070_13,CI26161
10071_11,CI26910
10071_12,CI26160
10071_13,CI26221
10073_11,CI26170
10073_12,CI26173
10073_13,CI26174
10075_11,CI26165
10075_12,CI26211
10075_13,CI26161
10076_11,CI26175
10076_12,CI26170
10076_13,CI26217
10081_11,CI26170
10081_12,CI26160
10081_13,CI26217
10082_11,CI23663
10082_12,CI26054
10082_13,CI24968
10083_11,CI23663
10083_12,CI24522
10083_13,CI23855
10084_11,CI26198
10084_12,CI26191
10084_13,CI26181
10085_11,CI26211
10085_12,CI26160
10085_13,CI26217
10086_11,CI26175
10086_12,CI26170
10086_13,CI26221
10088_11,CI26221
10088_12,CI26211
10088_13,CI26217
10090_11,CI26221
10090_12,CI26170
10090_13,CI26217
10091_11,CI27049
10091_12,CI27038
10091_13,CI27031
10092_11,CI23663
10092_12,CI26054
10092_13,CI24968
10098_11,CI26175
10098_12,CI26173
10098_13,CI26174
10100_11,CI23663
10100_12,CI24522
10100_13,CI23855
10104_11,CI26175
10104_12,CI26211
10104_13,CI26217
10105_11,CI26910
10105_12,CI26173
10105_13,CI26902
10106_11,CI24461
10106_12,CI24461
10106_13,CI24917
10108_11,CI26173
10108_12,CI26160
10108_13,CI26217
10109_11,CI26910
10109_12,CI26170
10109_13,CI26174
10116_11,CI24530
10116_12,CI25140
10116_13,CI24968
10119_11,CI27651
10119_12,CI27652
10119_13,CI27662
10120_11,CI24206
10120_12,CI24868
10120_13,CI23855
10121_11,CI24530
10121_12,CI23663
10121_13,CI24917
10122_11,CI28568
10122_12,CI28582
10122_13,CI28569
10123_11,CI23663
10123_12,CI23856
10123_13,CI23855
10124_11,CI26175
10124_12,CI26170
10124_13,CI26174
10126_11,CI23714
10126_12,CI23705
10126_13,CI24917
10132_11,CI26175
10132_12,CI26173
10132_13,CI26221
10134_11,CI28568
10134_12,CI25140
10134_13,CI28569
10136_11,CI23663
10136_12,CI23856
10136_13,CI24968
10137_11,CI24530
10137_12,CI24868
10137_13,CI23662
10140_11,CI26160
10140_12,CI26160
10140_13,CI26217
10145_11,CI23663
10145_12,CI25140
10145_13,CI24917
10146_11,CI26910
10146_12,CI26170
10146_13,CI26174
10147_11,CI23714
10147_12,CI23856
10147_13,CI24917
10149_11,CI26175
10149_12,CI26170
10149_13,CI26174
10152_11,CI26939
10152_12,CI26945
10152_13,CI26953
10164_11,CI23763
10164_12,CI25052
10164_13,CI24917
10165_11,CI26910
10165_12,CI26160
10165_13,CI26174
10166_11,CI24530
10166_12,CI25930
10166_13,CI24917
10169_11,CI27049
10169_12,CI26181
10169_13,CI27031
10171_11,CI23714
10171_12,CI28568
10171_13,CI28567
10174_11,CI28571
10174_12,CI28582
10174_13,CI28567
10175_11,CI23855
10175_12,CI25140
10175_13,CI24917
10181_11,CI28582
10181_12,CI28582
10181_13,CI28569
10183_11,CI26948
10183_12,CI26945
10183_13,CI24917
10188_11,CI26910
10188_12,CI26160
10188_13,CI26221
10193_11,CI23663
10193_12,CI23856
10193_13,CI24917
10194_11,CI23855
10194_12,CI24522
10194_13,CI23855
10195_11,CI24527
10195_12,CI24522
10195_13,CI24917
10196_11,CI28568
10196_12,CI25140
10196_13,CI28567
10197_11,CI23663
10197_12,CI24868
10197_13,CI24917
10199_11,CI26910
10199_12,CI26934
10199_13,CI26217
10200_11,CI26939
10200_12,CI26945
10200_13,CI26953
10201_11,CI23663
10201_12,CI24917
10201_13,CI24968
10202_11,CI26910
10202_12,CI26211
10202_13,CI26174
10203_11,CI26172
10203_12,CI26160
10203_13,CI26217
10204_11,CI24527
10204_12,CI24530
10204_13,CI23856
10205_11,CI26055
10205_12,CI25140
10205_13,CI24917
10206_11,CI26921
10206_12,CI26918
10206_13,CI26911
10210_11,CI24530
10210_12,CI23663
10210_13,CI25140
10211_11,CI26170
10211_12,CI26160
10211_13,CI26174
10216_11,CI26160
10216_12,CI26160
10216_13,CI26217
10218_11,CI26170
10218_12,CI26160
10218_13,CI26174
10220_11,CI24125
10220_12,CI24110
10220_13,CI23642
10223_11,CI26828
10223_12,CI26824
10223_13,CI26824
10224_11,CI24530
10224_12,CI24257
10224_13,CI24917
10227_11,CI27667
10227_12,CI27648
10227_13,CI27662
10228_11,CI23714
10228_12,CI24867
10228_13,CI23663
10230_11,CI26910
10230_12,CI26211
10230_13,CI26174
10231_11,CI26170
10231_12,CI26160
10231_13,CI26217
10240_11,CI23769
10240_12,CI26054
10240_13,CI24917
10244_11,CI23714
10244_12,CI24530
10244_13,CI24968
10245_11,CI24530
10245_12,CI23688
10245_13,CI25140
10251_11,CI23663
10251_12,CI23856
10251_13,CI23855
10252_11,CI23663
10252_12,CI24952
10252_13,CI24917
10256_11,CI26175
10256_12,CI26170
10256_13,CI26174
10257_11,CI26175
10257_12,CI26170
10257_13,CI26174
10258_11,CI24373
10258_12,CI24436
10258_13,CI23764
10260_11,CI26165
10260_12,CI26211
10260_13,CI26161
10263_11,CI24522
10263_12,CI24522
10263_13,CI25298
10264_11,CI26221
10264_12,CI26170
10264_13,CI26174
10267_11,CI26910
10267_12,CI26934
10267_13,CI26902
10271_11,CI26918
10271_12,CI26919
10271_13,CI26911
10272_11,CI26910
10272_12,CI26170
10272_13,CI26217
10273_11,CI28568
10273_12,CI28582
10273_13,CI28567
10274_11,CI27049
10274_12,CI27030
10274_13,CI27031
10277_11,CI28568
10277_12,CI28582
10277_13,CI28569
10278_11,CI26910
10278_12,CI26211
10278_13,CI26217
10280_11,CI23663
10280_12,CI23856
10280_13,CI23855
10283_11,CI26175
10283_12,CI26173
10283_13,CI26902
10286_11,CI28574
10286_12,CI28578
10286_13,CI28571
10288_11,CI24868
10288_12,CI24868
10288_13,CI23855
10293_11,CI26160
10293_12,CI26160
10293_13,CI26161
10297_11,CI27049
10297_12,CI27030
10297_13,CI27031
10303_11,CI24206
10303_12,CI24868
10303_13,CI23855
10304_11,CI27779
10304_12,CI27782
10304_13,CI27789
10308_11,CI24206
10308_12,CI24868
10308_13,CI24917
10309_11,CI25175
10309_12,CI25140
10309_13,CI24968
10310_11,CI24952
10310_12,CI24952
10310_13,CI24968
10319_11,CI27781
10319_12,CI27794
10319_13,CI27781
10320_11,CI24860
10320_12,CI27957
10320_13,CI24917
10323_11,CI23663
10323_12,CI24868
10323_13,CI24917
10324_11,CI26055
10324_12,CI25140
10324_13,CI24968
10325_11,CI27669
10325_12,CI27667
10325_13,CI27662
10326_11,CI23663
10326_12,CI24868
10326_13,CI23855
10329_11,CI26945
10329_12,CI26939
10329_13,CI24917
10331_11,CI25073
10331_12,CI24461
10331_13,CI24917
10335_11,CI26211
10335_12,CI26160
10335_13,CI26161
10337_11,CI26173
10337_12,CI26160
10337_13,CI26217
10340_11,CI23714
10340_12,CI24530
10340_13,CI23663
10343_11,CI24530
10343_12,CI23688
10343_13,CI24968
10347_11,CI26170
10347_12,CI26160
10347_13,CI26217
10348_11,CI26160
10348_12,CI26160
10348_13,CI26217
10349_11,CI23714
10349_12,CI24522
10349_13,CI24522
10351_11,CI23663
10351_12,CI24868
10351_13,CI24917
10352_11,CI24522
10352_12,CI25140
10352_13,CI24917
10353_11,CI23663
10353_12,CI24868
10353_13,CI24917
10356_11,CI26221
10356_12,CI26211
10356_13,CI26217
10361_11,CI23663
10361_12,CI23856
10361_13,CI24968
10362_11,CI26055
10362_12,CI25140
10362_13,CI24917
10363_11,CI26950
10363_12,CI26945
10363_13,CI26939
10364_11,CI23663
10364_12,CI23856
10364_13,CI23855
10369_11,CI28568
10369_12,CI28582
10369_13,CI28567
10371_11,CI26170
10371_12,CI26160
10371_13,CI26217
10375_11,CI26211
10375_12,CI26160
10375_13,CI26217
10382_11,CI28582
10382_12,CI23856
10382_13,CI28567
10383_11,CI26211
10383_12,CI26160
10383_13,CI26217
10384_11,CI26175
10384_12,CI26211
10384_13,CI26217
10385_11,CI26170
10385_12,CI26160
10385_13,CI26217
10387_11,CI26175
10387_12,CI26173
10387_13,CI26174
10390_11,CI25074
10390_12,CI24868
10390_13,CI24917
10400_11,CI26172
10400_12,CI26173
10400_13,CI26902
10402_11,CI26173
10402_12,CI26160
10402_13,CI26157
10404_11,CI26170
10404_12,CI26919
10404_13,CI26911
10405_11,CI26919
10405_12,CI26919
10405_13,CI26922
10409_11,CI23663
10409_12,CI24522
10409_13,CI24917
10411_11,CI26175
10411_12,CI26211
10411_13,CI26217
10413_11,CI26170
10413_12,CI26160
10413_13,CI26902
10414_11,CI23663
10414_12,CI26054
10414_13,CI24917
10420_11,CI28568
10420_12,CI28582
10420_13,CI28569
10421_11,CI26950
10421_12,CI26945
10421_13,CI26953
10424_11,CI24866
10424_12,CI23714
10424_13,CI24461
10432_11,CI23714
10432_12,CI28568
10432_13,CI28567
10435_11,CI26910
10435_12,CI26170
10435_13,CI26217
10436_11,CI28048
10436_12,CI24522
10436_13,CI24917
10437_11,CI24257
10437_12,CI24868
10437_13,CI24968
10439_11,CI23663
10439_12,CI24868
10439_13,CI24968
10441_11,CI26170
10441_12,CI26160
10441_13,CI26217
10444_11,CI26170
10444_12,CI26160
10444_13,CI26217
10445_11,CI23663
10445_12,CI24952
10445_13,CI24917
10448_11,CI23955
10448_12,CI24461
10448_13,CI23662
10451_11,CI26910
10451_12,CI26173
10451_13,CI26217
10452_11,CI24966
10452_12,CI24522
10452_13,CI24917
10453_11,CI23856
10453_12,CI23663
10453_13,CI24917
10454_11,CI23714
10454_12,CI23688
10454_13,CI23855
10455_11,CI24530
10455_12,CI24868
10455_13,CI24917
10456_11,CI23936
10456_12,CI24522
10456_13,CI24917
10461_11,CI26172
10461_12,CI26170
10461_13,CI26174
10464_11,CI26175
10464_12,CI26173
10464_13,CI26217
10465_11,CI28568
10465_12,CI23856
10465_13,CI28567
10470_11,CI24206
10470_12,CI24868
10470_13,CI24917
10473_11,CI24936
10473_12,CI25052
10473_13,CI24917
10474_11,CI26167
10474_12,CI26170
10474_13,CI26174
10482_11,CI24206
10482_12,CI24868
10482_13,CI24968
10485_11,CI24867
10485_12,CI24868
10485_13,CI24917
10491_11,CI26170
10491_12,CI26160
10491_13,CI26157
10494_11,CI26211
10494_12,CI26919
10494_13,CI26911
10498_11,CI24937
10498_12,CI24936
10498_13,CI25052
10499_11,CI27667
10499_12,CI27669
10499_13,CI27662
10503_11,CI26175
10503_12,CI26211
10503_13,CI26161
10504_11,CI23663
10504_12,CI24868
10504_13,CI24917
10505_11,CI26948
10505_12,CI26950
10505_13,CI26939
10506_11,CI23714
10506_12,CI24530
10506_13,CI24968
10508_11,CI26160
10508_12,CI26160
10508_13,CI26217
10510_11,CI23663
10510_12,CI23856
10510_13,CI25732
10511_11,CI24866
10511_12,CI24530
10511_13,CI24968
10514_11,CI26167
10514_12,CI26170
10514_13,CI26217
10517_11,CI24527
10517_12,CI24522
10517_13,CI24917
10520_11,CI24530
10520_12,CI24868
10520_13,CI23855
10522_11,CI26170
10522_12,CI26160
10522_13,CI26174
10527_11,CI26172
10527_12,CI26160
10527_13,CI26217
10530_11,CI28571
10530_12,CI28568
10530_13,CI28569
10531_11,CI23663
10531_12,CI23856
10531_13,CI24917
10534_11,CI26950
10534_12,CI26945
10534_13,CI26953
10539_11,CI26910
10539_12,CI26160
10539_13,CI26157
10540_11,CI28571
10540_12,CI28568
10540_13,CI28567
10542_11,CI26170
10542_12,CI26160
10542_13,CI26217
10545_11,CI24206
10545_12,CI24868
10545_13,CI24968
10547_11,CI24530
10547_12,CI24860
10547_13,CI24917
10548_11,CI25930
10548_12,CI24522
10548_13,CI24917
10549_11,CI27652
10549_12,CI27648
10549_13,CI27662
10550_11,CI26170
10550_12,CI26160
10550_13,CI26217
10552_11,CI23663
10552_12,CI24868
10552_13,CI24968
10553_11,CI26950
10553_12,CI26945
10553_13,CI26953
10554_11,CI26877
10554_12,CI26160
10554_13,CI26161
10557_11,CI26170
10557_12,CI26160
10557_13,CI26174
10559_11,CI26961
10559_12,CI26946
10559_13,CI26939
10561_11,CI26948
10561_12,CI26945
10561_13,CI26939
10562_11,CI26910
10562_12,CI26170
10562_13,CI26217
10563_11,CI23714
10563_12,CI26055
10563_13,CI24917
10564_11,CI26175
10564_12,CI26211
10564_13,CI26174
10573_11,CI27749
10573_12,CI26160
10573_13,CI26221
10576_11,CI26220
10576_12,CI26221
10576_13,CI26902
10579_11,CI26950
10579_12,CI26945
10579_13,CI26953
10581_11,CI25124
10581_12,CI23855
10581_13,CI24917
10585_11,CI23663
10585_12,CI24522
10585_13,CI23662
10587_11,CI28571
10587_12,CI28582
10587_13,CI28567
10589_11,CI27049
10589_12,CI27030
10589_13,CI27031
10592_11,CI23663
10592_12,CI26054
10592_13,CI23855
10593_11,CI28571
10593_12,CI28568
10593_13,CI28567
10594_11,CI23663
10594_12,CI23856
10594_13,CI24968
10595_11,CI27652
10595_12,CI27667
10595_13,CI27662
10596_11,CI24917
10596_12,CI27648
10596_13,CI26221
10597_11,CI23714
10597_12,CI25140
10597_13,CI24917
10599_11,CI26910
10599_12,CI26170
10599_13,CI26217
10602_11,CI26175
10602_12,CI26173
10602_13,CI26174
10606_11,CI24860
10606_12,CI25140
10606_13,CI23855
10608_11,CI26170
10608_12,CI26160
10608_13,CI26174
10610_11,CI26175
10610_12,CI26173
10610_13,CI26161
10611_11,CI28582
10611_12,CI25140
10611_13,CI28569
10612_11,CI23663
10612_12,CI24530
10612_13,CI24968
10615_11,CI26388
10615_12,CI26388
10615_13,CI24917
10618_11,CI23663
10618_12,CI24868
10618_13,CI24968
10619_11,CI23714
10619_12,CI28568
10619_13,CI28567
10630_11,CI26221
10630_12,CI26160
10630_13,CI26174
10631_11,CI26175
10631_12,CI26170
10631_13,CI26174
10633_11,CI24868
10633_12,CI25140
10633_13,CI24917
10636_11,CI23663
10636_12,CI23856
10636_13,CI23855
10637_11,CI26170
10637_12,CI26160
10637_13,CI26902
10638_11,CI28568
10638_12,CI28582
10638_13,CI28567
10639_11,CI28571
10639_12,CI28568
10639_13,CI28569
10640_11,CI26165
10640_12,CI26160
10640_13,CI26217
10644_11,CI26910
10644_12,CI26160
10644_13,CI26217
10646_11,CI26216
10646_12,CI26170
10646_13,CI26221
10647_11,CI28571
10647_12,CI28582
10647_13,CI28567
10648_11,CI23663
10648_12,CI23856
10648_13,CI24917
10650_11,CI23663
10650_12,CI25175
10650_13,CI25140
10654_11,CI24867
10654_12,CI23663
10654_13,CI23856
10655_11,CI26828
10655_12,CI26828
10655_13,CI26824
10659_11,CI23663
10659_12,CI24522
10659_13,CI23855
10660_11,CI26160
10660_12,CI26160
10660_13,CI26217
10662_11,CI26950
10662_12,CI26945
10662_13,CI26939
10663_11,CI26918
10663_12,CI26919
10663_13,CI26905
10665_11,CI26945
10665_12,CI26945
10665_13,CI26939
10667_11,CI24530
10667_12,CI24868
10667_13,CI24968
10674_11,CI23663
10674_12,CI23856
10674_13,CI23855
10679_11,CI26167
10679_12,CI26170
10679_13,CI26217
10681_11,CI26175
10681_12,CI26211
10681_13,CI26217
10693_11,CI23714
10693_12,CI23936
10693_13,CI24917
10694_11,CI23663
10694_12,CI24868
10694_13,CI23855
10695_11,CI28568
10695_12,CI28582
10695_13,CI28569
10703_11,CI26175
10703_12,CI26211
10703_13,CI26217
10705_11,CI23855
10705_12,CI23714
10705_13,CI24952
10706_11,CI26175
10706_12,CI26170
10706_13,CI26221
10707_11,CI28568
10707_12,CI28582
10707_13,CI28567
10708_11,CI24633
10708_12,CI23598
10708_13,CI24461
10711_11,CI23714
10711_12,CI25140
10711_13,CI24968
10712_11,CI27667
10712_12,CI27648
10712_13,CI27662
10713_11,CI26175
10713_12,CI26211
10713_13,CI26217
10719_11,CI26175
10719_12,CI26170
10719_13,CI26221
10721_11,CI26910
10721_12,CI26160
10721_13,CI26217
10722_11,CI26170
10722_12,CI26160
10722_13,CI26217
10725_11,CI26918
10725_12,CI26919
10725_13,CI26922
10726_11,CI25175
10726_12,CI25175
10726_13,CI25140
10733_11,CI26160
10733_12,CI26160
10733_13,CI26157
10735_11,CI26170
10735_12,CI26160
10735_13,CI26174
10737_11,CI28582
10737_12,CI28568
10737_13,CI28569
10740_11,CI23663
10740_12,CI24868
10740_13,CI24968
10751_11,CI26919
10751_12,CI26922
10751_13,CI26922
10754_11,CI28582
10754_12,CI23856
10754_13,CI28567
10757_11,CI23663
10757_12,CI28048
10757_13,CI24968
10758_11,CI27669
10758_12,CI27667
10758_13,CI27662
10759_11,CI26172
10759_12,CI26170
10759_13,CI26174
10760_11,CI27904
10760_12,CI27910
10760_13,CI24917
10761_11,CI26167
10761_12,CI26170
10761_13,CI26221
10763_11,CI28568
10763_12,CI28582
10763_13,CI28569
10765_11,CI26054
10765_12,CI25732
10765_13,CI24917
10766_11,CI26165
10766_12,CI26211
10766_13,CI26902
10770_11,CI26175
10770_12,CI26173
10770_13,CI26174
10776_11,CI26910
10776_12,CI26160
10776_13,CI26217
10788_11,CI26910
10788_12,CI27957
10788_13,CI26902
10790_11,CI24530
10790_12,CI24522
10790_13,CI24917
10794_11,CI26170
10794_12,CI26160
10794_13,CI26217
10797_11,CI24206
10797_12,CI24522
10797_13,CI23855
10798_11,CI23663
10798_12,CI24522
10798_13,CI24917
10799_11,CI26910
10799_12,CI26211
10799_13,CI26902
10800_11,CI23714
10800_12,CI25140
10800_13,CI24968
10805_11,CI24530
10805_12,CI23663
10805_13,CI25140
10806_11,CI26910
10806_12,CI26211
10806_13,CI26902
10809_11,CI26160
10809_12,CI26160
10809_13,CI26902
10820_11,CI26221
10820_12,CI26211
10820_13,CI26174
10821_11,CI26211
10821_12,CI26160
10821_13,CI26217
10823_11,CI26170
10823_12,CI26160
10823_13,CI26174
10824_11,CI26211
10824_12,CI26160
10824_13,CI26217
10825_11,CI23714
10825_12,CI24530
10825_13,CI24522
10828_11,CI27049
10828_12,CI25119
10828_13,CI26181
10829_11,CI25175
10829_12,CI28568
10829_13,CI25732
10832_11,CI26910
10832_12,CI26173
10832_13,CI26217
10835_11,CI23714
10835_12,CI25175
10835_13,CI28569
10836_11,CI26910
10836_12,CI26160
10836_13,CI26217
10841_11,CI26839
10841_12,CI27648
10841_13,CI27662
10842_11,CI26211
10842_12,CI26160
10842_13,CI26174
10845_11,CI23663
10845_12,CI25140
10845_13,CI24917
10847_11,CI26175
10847_12,CI26173
10847_13,CI26217
10853_11,CI23663
10853_12,CI26055
10853_13,CI24917
10854_11,CI25175
10854_12,CI25175
10854_13,CI25140
10857_11,CI25052
10857_12,CI25052
10857_13,CI24917
10860_11,CI24633
10860_12,CI24507
10860_13,CI24461
10861_11,CI28568
10861_12,CI26704
10861_13,CI28567
10862_11,CI23714
10862_12,CI25140
10862_13,CI24968
10863_11,CI25769
10863_12,CI26939
10863_13,CI24917
10865_11,CI23714
10865_12,CI24530
10865_13,CI23856
10866_11,CI25493
10866_12,CI24633
10866_13,CI24431
10877_11,CI24110
10877_12,CI23642
10877_13,CI23642
10878_11,CI26211
10878_12,CI26160
10878_13,CI26217
10880_11,CI26165
10880_12,CI26170
10880_13,CI26221
10881_11,CI26165
10881_12,CI26170
10881_13,CI26221
10882_11,CI23663
10882_12,CI24868
10882_13,CI24968
10886_11,CI26160
10886_12,CI26160
10886_13,CI26217
10888_11,CI26910
10888_12,CI26170
10888_13,CI26217
10890_11,CI27030
10890_12,CI27031
10890_13,CI27031
10891_11,CI23714
10891_12,CI23856
10891_13,CI24968
10895_11,CI24867
10895_12,CI24868
10895_13,CI24917
10898_11,CI26172
10898_12,CI26170
10898_13,CI26217
10901_11,CI26910
10901_12,CI26211
10901_13,CI26174
10902_11,CI24257
10902_12,CI25140
10902_13,CI24968
10903_11,CI27648
10903_12,CI24917
10903_13,CI24917
10908_11,CI26910
10908_12,CI26915
10908_13,CI26221
10909_11,CI23936
10909_12,CI25140
10909_13,CI24968
10911_11,CI26910
10911_12,CI26173
10911_13,CI26902
10913_11,CI26910
10913_12,CI26160
10913_13,CI26161
10916_11,CI28568
10916_12,CI25140
10916_13,CI28569
10917_11,CI23855
10917_12,CI23769
10917_13,CI25732
10918_11,CI27030
10918_12,CI27031
10918_13,CI27031
10926_11,CI23714
10926_12,CI24530
10926_13,CI23663
10930_11,CI23855
10930_12,CI24522
10930_13,CI24917
10931_11,CI23663
10931_12,CI24522
10931_13,CI24917
10934_11,CI23663
10934_12,CI23856
10934_13,CI24917
10936_11,CI23663
10936_12,CI25063
10936_13,CI23855
10937_11,CI23663
10937_12,CI24952
10937_13,CI24972
10941_11,CI26211
10941_12,CI26160
10941_13,CI26217
10943_11,CI26221
10943_12,CI26910
10943_13,CI26902
10948_11,CI26211
10948_12,CI26160
10948_13,CI26217
10950_11,CI26170
10950_12,CI26160
10950_13,CI26217
10953_11,CI24952
10953_12,CI24206
10953_13,CI24968
10959_11,CI24530
10959_12,CI24206
10959_13,CI24968
10961_11,CI26055
10961_12,CI26054
10961_13,CI24968
10962_11,CI24937
10962_12,CI24936
10962_13,CI25052
10964_11,CI24530
10964_12,CI23856
10964_13,CI24917
10965_11,CI26221
10965_12,CI26211
10965_13,CI26161
10967_11,CI23714
10967_12,CI23598
10967_13,CI24461
10968_11,CI26172
10968_12,CI26160
10968_13,CI26217
10974_11,CI28568
10974_12,CI28582
10974_13,CI28569
10978_11,CI26160
10978_12,CI26160
10978_13,CI26217
10984_11,CI23663
10984_12,CI26054
10984_13,CI24968
10987_11,CI26910
10987_12,CI26934
10987_13,CI26911
10988_11,CI23663
10988_12,CI23856
10988_13,CI24917
10989_11,CI26170
10989_12,CI26160
10989_13,CI26174
10990_11,CI26950
10990_12,CI26945
10990_13,CI26953
10991_11,CI28571
10991_12,CI28582
10991_13,CI28569
10992_11,CI24530
10992_12,CI24860
10992_13,CI24917
10993_11,CI26055
10993_12,CI26054
10993_13,CI24917
10996_11,CI26175
10996_12,CI26170
10996_13,CI26174
11000_11,CI26910
11000_12,CI26160
11000_13,CI26174
11003_11,CI23663
11003_12,CI23856
11003_13,CI24917
11009_11,CI23855
11009_12,CI24522
11009_13,CI24968
11014_11,CI26948
11014_12,CI26950
11014_13,CI26953
11017_11,CI26160
11017_12,CI26160
11017_13,CI26217
11018_11,CI23714
11018_12,CI24530
11018_13,CI23663
11019_11,CI26194
11019_12,CI26181
11019_13,CI24917
11021_11,CI23688
11021_12,CI24868
11021_13,CI24917
11022_11,CI23714
11022_12,CI25175
11022_13,CI28569
11024_11,CI24633
11024_12,CI24461
11024_13,CI24368
11027_11,CI27655
11027_12,CI27662
11027_13,CI26221
11028_11,CI27669
11028_12,CI27648
11028_13,CI27648
11030_11,CI26175
11030_12,CI26160
11030_13,CI26217
11031_11,CI23663
11031_12,CI24522
11031_13,CI24917
11034_11,CI23855
11034_12,CI28568
11034_13,CI28569
11036_11,CI23663
11036_12,CI25140
11036_13,CI28567
11038_11,CI28568
11038_12,CI28568
11038_13,CI28567
11039_11,CI26948
11039_12,CI26950
11039_13,CI26939
11040_11,CI24530
11040_12,CI23688
11040_13,CI24917
11041_11,CI26175
11041_12,CI26170
11041_13,CI26217
11054_11,CI26950
11054_12,CI26945
11054_13,CI26953
11057_11,CI26211
11057_12,CI26919
11057_13,CI26922
11058_11,CI26945
11058_12,CI26939
11058_13,CI24917
11060_11,CI26945
11060_12,CI26939
11060_13,CI24917
11063_11,CI23663
11063_12,CI26054
11063_13,CI24917
11065_11,CI23663
11065_12,CI24868
11065_13,CI23662
11067_11,CI26910
11067_12,CI26160
11067_13,CI26217
11068_11,CI25140
11068_12,CI25140
11068_13,CI24917
11069_11,CI23714
11069_12,CI26055
11069_13,CI24968
11078_11,CI26175
11078_12,CI26170
11078_13,CI26174
11080_11,CI24527
11080_12,CI24868
11080_13,CI23855
11084_11,CI23714
11084_12,CI25175
11084_13,CI24917
11085_11,CI26948
11085_12,CI26945
11085_13,CI26953
11086_11,CI24966
11086_12,CI26919
11086_13,CI24917
11087_11,CI26950
11087_12,CI26945
11087_13,CI26953
11088_11,CI28568
11088_12,CI28582
11088_13,CI28569
11092_11,CI24206
11092_12,CI24868
11092_13,CI24917
11094_11,CI23714
11094_12,CI23856
11094_13,CI24968
11095_11,CI23714
11095_12,CI25140
11095_13,CI24917
11099_11,CI23663
11099_12,CI25054
11099_13,CI25298
